Tabla;Campo;Var Type;Utilizado;Campo en Json;Mapeo api endpoint;Cobertura;Column 8;Observaciones;;;;;;;;;;;;;;;;;
wms_order_shipping ;shipped_date_end;bigint;SI;dateModified;https://oms.janis.in/api/order;Parcial;wms_order_shipping  shipped_date_end;Aproximación: fecha de modificación del shipping;;;;;;;;;;;;;;;;;
wms_order_shipping ;flags;smallint unsigned;SI;Status o tracking.statuses;https://delivery.janis.in/api/shipping/{id};Completa;wms_order_shipping  flags;;;;;;;;;;;;;;;;;;
wms_order_shipping ;linear_distance;decimal(6,1);SI;expectedDistance;https://delivery.janis.in/api/shipping/{id};Completa;wms_order_shipping  linear_distance;;;;;;;;;;;;;;;;;;
wms_logistic_carriers;id;bigint unsigned;SI;[].id;https://delivery.janis.in/api/carrier;Completa;wms_logistic_carriers id;ID del carrier en API;;;;;;;;;;;;;;;;;
wms_logistic_carriers;ref_id;varchar(50);SI;[].refId;https://delivery.janis.in/api/carrier;Completa;wms_logistic_carriers ref_id;Código de referencia del carrier;;;;;;;;;;;;;;;;;
wms_logistic_carriers;name;varchar(255);SI;[].name;https://delivery.janis.in/api/carrier;Completa;wms_logistic_carriers name;Nombre del carrier;;;;;;;;;;;;;;;;;
wms_logistic_carriers;type;varchar(255);SI;[].shippingType;https://delivery.janis.in/api/carrier;Completa;wms_logistic_carriers type;;;;;;;;;;;;;;;;;;
wms_logistic_carriers;quota;smallint unsigned;SI;[].defaultShippingQuantity;https://delivery.janis.in/api/carrier;Completa;wms_logistic_carriers quota;;;;;;;;;;;;;;;;;;
wms_logistic_carriers;status;smallint;SI;[].status;https://delivery.janis.in/api/carrier;Completa;wms_logistic_carriers status;Estado del carrier: active o inactive;;;;;;;;;;;;;;;;;
wms_order_items;id;bigint unsigned;SI;items[].id;GET https://oms.janis.in/api/order/{id};Completa;wms_order_items id;;;;;;;;;;;;;;;;;;
wms_order_items;order_id;bigint;SI;id (orden padre);GET https://oms.janis.in/api/order/{id};Completa;wms_order_items order_id;;;;;;;;;;;;;;;;;;
wms_order_items;substitute_of;bigint unsigned;SI;items[].pickingResult[].substituteOf;GET https://oms.janis.in/api/order/{id};Parcial;wms_order_items substitute_of;Disponible en pickingResult después del picking;;;;;;;;;;;;;;;;;
wms_order_items;sku;bigint unsigned;SI;items[].skuId;GET https://oms.janis.in/api/order/{id};Completa;wms_order_items sku;;;;;;;;;;;;;;;;;;
wms_order_items;product;bigint unsigned;SI;items[].commerceProductId;GET https://oms.janis.in/api/order/{id};Completa;wms_order_items product;;;;;;;;;;;;;;;;;;
wms_order_items;ref_id;varchar(50);SI;items[].refId;GET https://oms.janis.in/api/order/{id};Completa;wms_order_items ref_id;;;;;;;;;;;;;;;;;;
wms_order_items;name;varchar(100);SI;items[].name;GET https://oms.janis.in/api/order/{id};Completa;wms_order_items name;;;;;;;;;;;;;;;;;;
wms_order_items;list_price;float(12,2) unsigned;SI;items[].purchasedListPrice;GET https://oms.janis.in/api/order/{id};Completa;wms_order_items list_price;;;;;;;;;;;;;;;;;;
wms_order_items;price;float(12,2) unsigned;SI;items[].purchasedPrice;GET https://oms.janis.in/api/order/{id};Completa;wms_order_items price;;;;;;;;;;;;;;;;;;
wms_order_items;selling_price;decimal(15,5) unsigned;SI;pickingResult[].price;https://oms.janis.in/api/order/;Completa;wms_order_items selling_price;;;;;;;;;;;;;;;;;;
wms_order_items;selling_price_original;decimal(15,5) unsigned;SI;items[].purchasedPrice;https://oms.janis.in/api/order/;Completa;wms_order_items selling_price_original;;;;;;;;;;;;;;;;;;
wms_order_items;quantity;smallint unsigned;SI;items[].purchasedQuantity;GET https://oms.janis.in/api/order/{id};Completa;wms_order_items quantity;;;;;;;;;;;;;;;;;;
wms_order_items;quantity_picked;smallint unsigned;SI;items[].pickingResult[].quantity;GET https://oms.janis.in/api/order/{id};Parcial;wms_order_items quantity_picked;Disponible en pickingResult después del picking;;;;;;;;;;;;;;;;;
wms_order_items;quantity_invoiced;smallint unsigned;SI;items[].invoicedQuantity;GET https://oms.janis.in/api/order/{id};Parcial;wms_order_items quantity_invoiced;Disponible después de facturación;;;;;;;;;;;;;;;;;
wms_order_items;quantity_returned;smallint unsigned;SI;items[].returnedQuantity;GET https://oms.janis.in/api/order/{id};Parcial;wms_order_items quantity_returned;Disponible si hay devoluciones;;;;;;;;;;;;;;;;;
wms_order_items;substitute_type;tinyint unsigned;SI;items[].pickingResult[].type;GET https://oms.janis.in/api/order/{id};Parcial;wms_order_items substitute_type;Disponible en pickingResult (original/substitute/candidate);;;;;;;;;;;;;;;;;
wms_order_items;measurement_unit;varchar(5);SI;items[].sellingMeasurementUnit;GET https://oms.janis.in/api/order/{id};Completa;wms_order_items measurement_unit;;;;;;;;;;;;;;;;;;
wms_order_items;unit_multiplier;float(7,5) unsigned;SI;items[].sellingUnitMultiplier;GET https://oms.janis.in/api/order/{id};Completa;wms_order_items unit_multiplier;;;;;;;;;;;;;;;;;;
wms_order_item_weighables;id;bigint unsigned;SI;items.measurementUnit: kg // ProductGroup name:weightables;https://oms.janis.in/api/order/{id};Parcial;wms_order_item_weighables id;items.measurementUnit: kg // ProductGroup name:weightables;;;;;;;;;;;;;;;;;
wms_order_item_weighables;order_id;bigint unsigned;SI;id (orden padre);https://oms.janis.in/api/order/{id};Completa;wms_order_item_weighables order_id;ID de la orden que contiene el item;;;;;;;;;;;;;;;;;
wms_order_item_weighables;order_item;bigint unsigned;SI;items[].id;https://oms.janis.in/api/order/{id};Completa;wms_order_item_weighables order_item;ID del item dentro del array items[];;;;;;;;;;;;;;;;;
wms_order_item_weighables;weight;int unsigned;SI;items[].dimensions.weight;https://oms.janis.in/api/order/{id};Completa;wms_order_item_weighables weight;Peso estimado del producto;;;;;;;;;;;;;;;;;
wms_order_item_weighables;weight_picked;decimal(15,3);SI;items[].pickingResult.weight;https://oms.janis.in/api/order/{id};Parcial;wms_order_item_weighables weight_picked;Solo disponible después del picking, para items con isPrepacked=true;;;;;;;;;;;;;;;;;
wms_order_item_weighables;price;decimal(15,5) unsigned;SI;items[].purchasedPrice;https://oms.janis.in/api/order/{id};Completa;wms_order_item_weighables price;Precio del item;;;;;;;;;;;;;;;;;
wms_order_item_weighables;quantity;smallint;SI;items[].pickingResult.quantity;https://oms.janis.in/api/order/{id};Parcial;wms_order_item_weighables quantity;Solo disponible después del picking;;;;;;;;;;;;;;;;;
wms_order_status_changes;order_id;bigint unsigned;SI;id;https://oms.janis.in/api/order/{id};completa;wms_order_status_changes order_id;;;;;;;;;;;;;;;;;;
wms_order_status_changes;extra;text;SI;customData;https://oms.janis.in/api/order/{id}/history;Parcial;wms_order_status_changes extra;Objeto JSON en API, text en BD;;;;;;;;;;;;;;;;;
wms_order_status_changes;old_status;int;SI;notifyOrderChangeStatus;https://oms.janis.in/api/order/{id}/;completa;wms_order_status_changes old_status;;;;;;;;;;;;;;;;;;
wms_order_status_changes;new_status;int;SI;name;https://oms.janis.in/api/order/{id}/history;Parcial;wms_order_status_changes new_status;API usa strings (new, needsIntervention), BD usa números;;;;;;;;;;;;;;;;;
wms_order_status_changes;user_created;bigint;SI;userCreated;https://oms.janis.in/api/order/{id}/history;Parcial;wms_order_status_changes user_created;Puede ser null en API;;;;;;;;;;;;;;;;;
wms_order_status_changes;date_created;bigint;SI;dateCreated;https://oms.janis.in/api/order/{id}/history;Parcial;wms_order_status_changes date_created;Conversión ISO 8601 → Unix timestamp;;;;;;;;;;;;;;;;;
wms_stores;id;bigint;SI;id;https://commerce.janis.in/api/stores;Completa;wms_stores id;ID interno de Janis;;;;;;;;;;;;;;;;;
wms_stores;title;varchar(255);SI;title;https://commerce.janis.in/api/stores;Completa;wms_stores title;Nombre de la tienda;;;;;;;;;;;;;;;;;
wms_stores;name;varchar(255);SI;name;https://commerce.janis.in/api/stores;Completa;wms_stores name;Nombre de la tienda (redundante con title);;;;;;;;;;;;;;;;;
wms_stores;ref_id;varchar(10);SI;refId;https://commerce.janis.in/api/stores;Completa;wms_stores ref_id;ID de referencia externa;;;;;;;;;;;;;;;;;
wms_stores;erp_id;varchar(50);SI;erpId;https://commerce.janis.in/api/stores;Completa;wms_stores erp_id;Posiblemente mapeado a referenceId;;;;;;;;;;;;;;;;;
wms_stores;code;varchar(50);SI;code;https://commerce.janis.in/api/stores;Completa;wms_stores code;Posiblemente mapeado a referenceId;;;;;;;;;;;;;;;;;
wms_stores;sales_channel;int unsigned;SI;salesChannel;https://commerce.janis.in/api/stores;Completa;wms_stores sales_channel;❌ BRECHA: No visible en schema Store. Verificar si está en SalesChannel service;;;;;;;;;;;;;;;;;
wms_stores;ecommerce_account_id;bigint;SI;ecommerceAccountId;https://commerce.janis.in/api/stores;Completa;wms_stores ecommerce_account_id;❌ BRECHA: No visible en schema Store;;;;;;;;;;;;;;;;;
wms_stores;country;bigint unsigned;SI;country;https://commerce.janis.in/api/stores;Completa;wms_stores country;API devuelve ISO3 (ej: PER), BD usa ID numérico;;;;;;;;;;;;;;;;;
wms_stores;street_name;varchar(255);SI;streetName;https://commerce.janis.in/api/stores;Completa;wms_stores street_name;Requiere navegar a objeto location;;;;;;;;;;;;;;;;;
wms_stores;street_number;varchar(50);SI;streetNumber;https://commerce.janis.in/api/stores;Completa;wms_stores street_number;Requiere navegar a objeto location;;;;;;;;;;;;;;;;;
wms_stores;postal_code;varchar(10);SI;postalCode;https://commerce.janis.in/api/stores;Completa;wms_stores postal_code;Requiere navegar a objeto location;;;;;;;;;;;;;;;;;
wms_stores;city;varchar(255);SI;city;https://commerce.janis.in/api/stores;Completa;wms_stores city;Requiere navegar a objeto location;;;;;;;;;;;;;;;;;
wms_stores;state;varchar(255);SI;state;https://commerce.janis.in/api/stores;Completa;wms_stores state;Requiere navegar a objeto location;;;;;;;;;;;;;;;;;
wms_stores;neighborhood;varchar(255);SI;neighborhood;https://commerce.janis.in/api/stores;Completa;wms_stores neighborhood;Requiere navegar a objeto location;;;;;;;;;;;;;;;;;
wms_stores;lat;decimal(12,9);SI;lat;https://commerce.janis.in/api/stores;Completa;wms_stores lat;Conversión decimal(12,9) → number;;;;;;;;;;;;;;;;;
wms_stores;lng;decimal(12,9);SI;lng;https://commerce.janis.in/api/stores;Completa;wms_stores lng;Conversión decimal(12,9) → number;;;;;;;;;;;;;;;;;
wms_stores;phone;varchar(50);SI;phone;https://commerce.janis.in/api/stores;Completa;wms_stores phone;Teléfono de contacto;;;;;;;;;;;;;;;;;
wms_stores;apply_quotation;tinyint(1);SI;applyQuotation;https://commerce.janis.in/api/stores;Completa;wms_stores apply_quotation;Conversión tinyint(1) → boolean;;;;;;;;;;;;;;;;;
wms_stores;status;tinyint;SI;status;https://commerce.janis.in/api/stores;Completa;wms_stores status;active/inactive;;;;;;;;;;;;;;;;;
wms_stores;complement;varchar(255);SI;complement;https://commerce.janis.in/api/stores;Completa;wms_stores complement;Información adicional de dirección;;;;;;;;;;;;;;;;;
wms_stores;date_modified;bigint;SI;dateModified;https://commerce.janis.in/api/stores;Completa;wms_stores date_modified;Conversión bigint (timestamp) → ISO 8601;;;;;;;;;;;;;;;;;
wms_stores;date_created;bigint;SI;dateCreated;https://commerce.janis.in/api/stores;Completa;wms_stores date_created;Conversión bigint (timestamp) → ISO 8601;;;;;;;;;;;;;;;;;
wms_logistic_delivery_planning;id;bigint unsigned;SI;[].id;https://tms.janis.in/api/route-planning;Completa;wms_logistic_delivery_planning id;ID de la planificación de ruta;;;;;;;;;;;;;;;;;
wms_logistic_delivery_planning;store;bigint unsigned;SI;[].warehouseIds[];https://tms.janis.in/api/route-planning;Completa;wms_logistic_delivery_planning store;Array de IDs de warehouses en la planificación;;;;;;;;;;;;;;;;;
wms_logistic_delivery_planning;carrier;bigint unsigned;SI;carrierId;https://delivery.janis.in/api/time-slot;;wms_logistic_delivery_planning carrier;;;;;;;;;;;;;;;;;;
wms_logistic_delivery_planning;delivery_range;bigint unsigned;SI;[].schedule;https://tms.janis.in/api/route-planning;Parcial;wms_logistic_delivery_planning delivery_range;Ahora es objeto schedule con from/to en lugar de ID;;;;;;;;;;;;;;;;;
wms_logistic_delivery_planning;quantity;smallint unsigned;SI;[].totals.shippingCount;https://tms.janis.in/api/route-planning;Completa;wms_logistic_delivery_planning quantity;Total de envíos en la planificación;;;;;;;;;;;;;;;;;
wms_logistic_delivery_planning;dynamic_quota;smallint;SI;N/A;N/A;Restante;wms_logistic_delivery_planning dynamic_quota;No existe en V2/ cenco usa cupos dinamios;;;;;;;;;;;;;;;;;
wms_logistic_delivery_planning;quota;smallint unsigned;SI;capacity.total;https://delivery.janis.in/api/time-slot-order;;wms_logistic_delivery_planning quota;;;;;;;;;;;;;;;;;;
