Tabla	Campo	Var Type	Utilizado	Campo en Json	Mapeo api endpoint	frecuencia
skus	pack_units	smallint unsigned	SI	attributes[?]	GET https://catalog.janis.in/api/sku/{id}/attribute	1 hora
skus	legal_measurement_unit	varchar(5)	SI	measurementUnit	GET https://catalog.janis.in/api/sku	1 hora
skus	legal_unit_multiplier	float(8,3)	SI	N/A	GET https://catalog.janis.in/api/sku	1 hora
skus	min_stock	int unsigned	SI	N/A	GET https://catalog.janis.in/api/sku	1 hora
skus	modal	bigint unsigned	SI	modalType	GET https://catalog.janis.in/api/sku	1 hora
skus	base_price	float(12,2) unsigned	SI	price	https://pricing.janis.in/api/base-price/{id}	1 hora
skus	status	bigint	SI	status	GET https://catalog.janis.in/api/sku	1 hora
skus	flags_client	int unsigned	SI	N/A	GET https://catalog.janis.in/api/sku	1 hora
skus	manufacturer_code	varchar(100)	SI	manufacturerCode	GET https://catalog.janis.in/api/sku	1 hora
skus	date_created	bigint	SI	dateCreated	GET https://catalog.janis.in/api/sku	1 hora
categories	id	bigint	SI	id	https://catalog.janis.in/api/category	1 hora
categories	ref_id	int	SI	referenceId	https://catalog.janis.in/api/category	1 hora
categories	name	varchar(100)	SI	name	https://catalog.janis.in/api/category	1 hora
categories	ref_parent	int unsigned	SI	parentId	https://catalog.janis.in/api/category	1 hora
categories	status	int	SI	status	https://catalog.janis.in/api/category	1 hora
price	id	bigint	SI	id	https://pricing.janis.in/api/price	30 minutos
price	item_id	bigint unsigned	SI	sku	https://pricing.janis.in/api/price	30 minutos
price	store_id	bigint unsigned	SI	salesChannelId	https://pricing.janis.in/api/sc-sku-price	30 minutos
price	price	float(12,2) unsigned	SI	price	https://pricing.janis.in/api/price	30 minutos
price	list_price	float(12,2) unsigned	SI	listPrice	https://pricing.janis.in/api/price	30 minutos
price	cost_price	float(12,2) unsigned	SI	costPrice	https://pricing.janis.in/api/price	30 minutos
price	store_price	float(12,2) unsigned	SI	price	https://pricing.janis.in/api/sc-sku-price	30 minutos
price	status	tinyint	SI	status	https://pricing.janis.in/api/price	30 minutos
price	date_modified	bigint	SI	dateModified	https://pricing.janis.in/api/price	30 minutos
price	date_created	bigint	SI	dateCreated	https://pricing.janis.in/api/price	30 minutos
brands	id	bigint unsigned	SI	id	https://catalog.janis.in/api/brand	1 hora
brands	ref_id	bigint	SI	referenceId	https://catalog.janis.in/api/brand	1 hora
brands	name	varchar(100)	SI	name	https://catalog.janis.in/api/brand	1 hora
brands	status	smallint	SI	status	https://catalog.janis.in/api/brand	1 hora
customers	id	bigint unsigned	SI	id (alfanumerico)	https://crm.janis.in/api/customer	sin update
customers	vtex_id	varchar(50)	SI	N/A	https://crm.janis.in/api/customer	sin update
customers	user_id	varchar(50)	SI	commerceId	https://crm.janis.in/api/customer	sin update
customers	doc_type	varchar(30)	SI	documentType	https://crm.janis.in/api/customer	sin update
customers	doc	varchar(50)	SI	documentNumber	https://crm.janis.in/api/customer	sin update
customers	email	varchar(100)	SI	email	https://crm.janis.in/api/customer	sin update
customers	firstname	varchar(100)	SI	firstname	https://crm.janis.in/api/customer	sin update
customers	lastname	varchar(100)	SI	lastname	https://crm.janis.in/api/customer	sin update
